,MarketName,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,Longitude,Latitude,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Region
1620,Carousel Park Farmers Market,Wilmington,New Castle,Delaware,19808,05/22/2015 to 10/30/2015,Fri: 2:00 PM-7:00 PM;,,,,,,,-75.683661,39.734265,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,8/4/2015 10:50:51 AM,Northeast
1621,Centerville Farmers Market,Centerville,New Castle,Delaware,19807,06/18/2016 to 10/15/2016,Sat: 8:30 AM-12:00 PM;,,,,,,,-75.616506,39.821415,Y,N,N,N,N,-,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/30/2016 10:14:10 AM,Northeast
1622,Co-op Farmers Market,Newark,New Castle,Delaware,19711,05/03/2015 to 11/22/2015,Sun: 9:30 AM-2:00 PM;,,,,,,,-75.743782,39.684694,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,6/28/2016 3:28:55 PM,Northeast
1623,Cool Spring Farmers Market,Wilmington,New Castle,Delaware,19805,June to October,Thu:3:00 PM - 8:00 PM;,,,,,,,-75.55728620000001,39.749416,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/14/2012 1:55:03 PM,Northeast
1624,Delaware Avenue Farmers' Market,Wilmington,New Castle,Delaware,19806,05/01/2014 to 09/01/2014,Tue: 4:00 PM-7:30 PM;,,,,,,,-75.563149,39.758952,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/1/2014 1:00:11 PM,Northeast
1625,Dutch Country Farmer's Market,Middletown,New Castle,Delaware,19709,01/01/2017 to 12/31/2017,Thu: 8:30 AM-6:00 PM;Fri: 8:30 AM-7:00 PM;Sat: 8:30 AM-4:00 PM;,,,,,,,-75.7173029,39.4583829,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,6/22/2017 3:42:52 PM,Northeast
1626,Fenwick Island Farmers Market,Fenwick Island,,Delaware,19944,,,,,,,,,-75.0519,38.4604,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011,Northeast
1627,Garden Shack Farmers Market,Lewes,Sussex,Delaware,19958,04/07/2016 to 11/17/2016,Thu: 2:00 PM-6:00 PM;,,,,,,,-75.21623249999999,38.6950281,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,Y,2/16/2016 3:29:48 PM,Northeast
1628,Georgetown Farmers' Market,Georgetown,Sussex,Delaware,19947,05/20/2015 to 09/16/2015,Wed: 3:00 PM-6:00 PM;,,,,,,,-75.378169,38.678830100000006,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,3/26/2015 5:23:58 PM,Northeast
1629,Glasgow Park Farmers Market,Newark,New Castle,Delaware,19702,05/22/2015 to 10/30/2015,Fri: 3:00 PM-7:00 PM;,,,,,,,-75.739334,39.607137,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,8/4/2015 10:50:12 AM,Northeast
1630,Grace On Concord Farmers Market and Artisan Fair,Wilmington,New Castle,Delaware,19803,06/13/2014 to 10/10/2014,Fri: 3:00 PM-7:00 PM;,,,,,,,-75.54749699999999,39.822159,N,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,5/31/2014 6:43:57 AM,Northeast
1631,Harrington Farmers Market, Harrington,,Delaware,19952,,,,,,,,,-75.5782,38.9236,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011,Northeast
1632,Historic Lewes Farmers Market,Lewes,Sussex,Delaware,19958,05/06/2017 to 09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-75.147471,38.772342,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,6/27/2017 7:17:20 PM,Northeast
1633,Historic Lewes Farmers Market,Lewes,Sussex,Delaware,19958,10/07/2017 to 11/18/2017,Sun: 9:00 AM-12:00 PM;,,,,,,,-75.147601,38.767972,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,N,6/27/2017 7:16:22 PM,Northeast
1634,Historic Lewes Farmers Market Summer Wednesday Market,Lewes,Sussex,Delaware,19958,06/06/2018 to 08/29/2018,Sat: 8:00 AM-11:00 AM;,,,,,,,-75.149992,38.745129999999996,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,4/16/2018 5:31:34 PM,Northeast
1635,L.I.N.A. Farmers Market,Wilmington,New Castle,Delaware,19805,,,,,,,,,-75.5722,39.753,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 18 2010  8:38PM,Northeast
1636,Long Neck Farmers Market,Millsboro,,Delaware,19966,,,,,,,,,-75.1851,38.6296,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011,Northeast
1637,Loockerman Way Farmers' Market,Dover,Kent,Delaware,19904,06/18/2014 to 08/27/2014,Wed: 11:30 AM-4:30 PM;,,,,,,,-75.52644699999999,39.157666,Y,N,N,N,Y,-,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/20/2014 7:15:05 PM,Northeast
1638,Milford's Riverwalk Farmers Market,Milford ,Sussex,Delaware,19963,05/07/2016 to 10/01/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-75.42817600000001,38.913006,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,6/30/2016 3:20:51 PM,Northeast
1639,Millville Farmers Market,Millville 19967,Sussex,Delaware,19970,06/19/2014 to 09/11/2014,Thu: 8:30 AM-12:30 PM;,,,,,,,-75.116569,38.527805,N,N,N,N,N,-,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/3/2014 7:18:06 PM,Northeast
1640,Milton Farmers' Market,Milton,Sussex,Delaware,19968,04/20/2018 to 10/05/2018,Fri: 3:00 PM-6:00 PM;,,,,,,,-75.310511,38.769132,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,N,7/27/2018 12:12:44 PM,Northeast
1641,Rehoboth Beach Farmers Market,Rehoboth Beach,Sussex,Delaware,19971,05/05/2015 to 10/27/2015,Tue: 12:00 PM-4:00 PM;,,,,,,,-75.092,38.7158,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,3/20/2015 8:00:22 AM,Northeast
1642,Rockwood Park Farmers Market,Wilmington,New Castle,Delaware,19809,05/21/2015 to 10/29/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.518698,39.773164,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,8/4/2015 10:49:34 AM,Northeast
1643,Route 9 Farmers Market,New Castle ,New Castle,Delaware,19720,05/21/2015 to 10/29/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.561084,39.702387,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,8/4/2015 10:52:52 AM,Northeast
1644,SMYRNA FARMERS' MARKET ,Smyrna,Kent,Delaware,19977,06/12/2014 to 08/28/2014,Thu: 4:00 PM-7:00 PM;,,,,,,,-75.60508320000001,39.2995415,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,4/22/2014 3:59:29 PM,Northeast
1645,The Farmers' Market at Sea Colony,Bethany Beach,Sussex,Delaware,19930,06/24/2015 to 08/26/2015,Wed: 8:00 AM-12:00 PM;,,,,,,,-75.056961,38.527207000000004,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/26/2015 7:35:44 PM,Northeast
1646,TS Smith & Sons,Bridgeville,Sussex,Delaware,19933,April to December,Mon:8:00 AM - 5:00 PM;Tue:8:00 AM - 5:00 PM;Wed:8:00 AM - 5:00 PM;Thu:8:00 AM - 5:00 PM;Fri:8:00 AM - 5:00 PM;Sat:8:00 AM - 5:00 PM;sun:9:00 AM - 3:00 PM;,,,,,,,-75.596967,38.749866,Y,N,N,N,N,-,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/20/2012 9:51:19 AM,Northeast
1647,TS Smith & Sons,milton,Sussex,Delaware,19968,August to August,Wed:2:00 AM - 3:00 PM;,,,,,,,-75.3151488,38.7810247,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/20/2012 9:51:19 AM,Northeast
1648,Urban Acres Produce,Wilmington,New Castle,Delaware,19802, to 07/01/2016,,,,,,,,-75.542582,39.742036999999996,Y,N,N,N,Y,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/4/2016 12:17:17 AM,Northeast
1649,Village Fresh Farmers Market,Wilmington,New Castle,Delaware,19802,June to October,Thu:3:00 PM - 6:00 PM;,,,,,,,-75.5407,39.752584999999996,Y,N,N,N,Y,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/17/2012 3:19:55 PM,Northeast
1650,Western Sussex Farmers' Market,Seaford,Sussex,Delaware,19973,June to September,Sat:8:30 AM - 12:00 PM;,,,,,,,-75.6140416,38.6529175,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,5/16/2012 8:03:56 PM,Northeast
1651,Wilmington Farmers Market,Wilmington,,Delaware,19899,,,,,,,,,-75.547,39.7459,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011,Northeast
1652,14&U Farmers' Market,Washington,District of Columbia,District of Columbia,20009,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/2014 1:49:04 PM,Southeast
1653,14th & Kennedy Street Farmers Market,Washington ,District of Columbia,District of Columbia,20011,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.03344859999999,38.9559783,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/2016 11:16:24 AM,Southeast
1654,Adams Morgan Farmer Market,"Washington, DC",District of Columbia,District of Columbia,20009,,Sat: 8:00 AM-1:00 PM;,,,,,,,-77.04266740000001,38.9226795,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,6/21/2017 9:33:38 AM,Southeast
1655,Arcadia's Mobile Market -- Barry Farm Recreation Center,Washington,District of Columbia,District of Columbia,20020,06/03/2016 to 10/28/2016,Fri: 2:00 PM-5:00 PM;,,,,,,,-76.996697,38.860661,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 12:00:38 PM,Southeast
1656,Arcadia's Mobile Market -- Children's National Medical Center WIC Clinic,Washington ,District of Columbia,District of Columbia,20010,05/04/2016 to 11/30/2016,Wed: 12:00 PM-2:00 PM;,,,,,,,-77.0146728,38.9271809,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:51:36 AM,Southeast
1657,Arcadia's Mobile Market -- Community of Hope - Conway Health and Resource Center,Washington ,District of Columbia,District of Columbia,20032,05/31/2016 to 10/25/2016,Tue: 3:00 PM-6:00 PM;,,,,,,,-77.00939129999999,38.8312359,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:37:58 AM,Southeast
1658,Arcadia's Mobile Market -- Community of Hope Family Health & Birth Center,Washington,District of Columbia,District of Columbia,20002,06/02/2016 to 10/27/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-76.9781261,38.9008251,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:55:46 AM,Southeast
1659,Arcadia's Mobile Market -- Congress Heights Senior Wellness Center,Washington,District of Columbia,District of Columbia,20032,05/05/2016 to 11/17/2016,Thu: 10:00 AM-12:00 PM;,,,,,,,-77.00443609999999,38.8400841,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:53:56 AM,Southeast
1660,Arcadia's Mobile Market -- Deanwood Recreation Center,Washington,District of Columbia,District of Columbia,20019,05/06/2016 to 11/25/2016,Fri: 10:00 AM-12:00 PM;,,,,,,,-76.9324515,38.9082997,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:59:57 AM,Southeast
1661,Arcadia's Mobile Market -- Edgewood Commons,Washington ,District of Columbia,District of Columbia,20017,05/06/2016 to 11/25/2016,Fri: 3:00 PM-6:00 PM;,,,,,,,-76.9971713,38.9237975,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:41:47 AM,Southeast
1662,Arcadia's Mobile Market -- Hendley Elementary ,Washington,District of Columbia,District of Columbia,20032,06/01/2016 to 10/26/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-76.9991386,38.8286428,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:52:39 AM,Southeast
1663,Arcadia's Mobile Market -- Ledroit Park,Washington,District of Columbia,District of Columbia,20001,05/04/2016 to 11/30/2016,Wed: 4:00 PM-7:00 PM;,,,,,,,-77.01595909999999,38.9175043,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:53:17 AM,Southeast
1664,Arcadia's Mobile Market -- Parkside Unity Healthcare/Circle 7 Express,Washington,District of Columbia,District of Columbia,20019,05/05/2016 to 11/17/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-76.9468929,38.900758200000006,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:59:21 AM,Southeast
1665,Arcadia's Mobile Market -- The Overlook at Oxon Run,Washington ,District of Columbia,District of Columbia,20032,05/03/2016 to 11/29/2016,Tue: 4:00 PM-6:00 PM;,,,,,,,-76.9940286,38.8358959,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,7/12/2016 11:36:20 AM,Southeast
1666,Arcadia's Mobile Market -- United Medical Center,Washington,District of Columbia,District of Columbia,20032,06/02/2016 to 10/27/2016,Thu: 10:00 AM-12:00 PM;,,,,,,,-76.9849936,38.8359393,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:54:57 AM,Southeast
1667,Arcadia's Mobile Market -- Wah Luck House Chinatown,Washington,District of Columbia,District of Columbia,20001,06/01/2016 to 10/26/2016,Wed: 10:00 AM-12:00 PM;,,,,,,,-77.02019109999999,38.9002248,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,7/12/2016 11:39:21 AM,Southeast
1668,AYA Community Markets,Washington,District of Columbia,District of Columbia,20020,April to November,Sat:10:00 AM - 3:00 PM;,,,,,,,-77.0175504,38.8792834,N,Y,N,N,Y,-,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/18/2012 1:19:51 PM,Southeast
1669,Bloomingdale Farmers' Market,Washington,District of Columbia,District of Columbia,20009,05/04/2014 to 11/23/2014,Sun: 9:00 AM-1:00 PM;,,,,,,,-77.0121571,38.9126037,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,4/5/2014 1:50:09 PM,Southeast
1670,Broad Branch Farmers Market,Washington,District of Columbia,District of Columbia,20015,,,,,,,,,-77.0679,38.9664,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Southeast
1671,Brookland Tuesday Farmers Market,District of Columbia,District of Columbia,District of Columbia,20017,06/06/2017 to 10/31/2017,Tue: 4:00 PM-7:00 PM;,,,,,,,-76.992642,38.93441,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,6/21/2017 9:31:15 AM,Southeast
1672,Brookland's Monroe St Farmers Market,"Washington, DC",District of Columbia,District of Columbia,20018,04/16/2016 to 12/17/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-76.99508900000001,38.933091,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N,7/5/2016 5:19:27 PM,Southeast
1673,Capital Harvest on the Plaza,DC,District of Columbia,District of Columbia,20004,05/19/2017 to 11/10/2017,Fri: 11:00 AM-3:00 PM;,,,,,,,-77.03025600000001,38.894748,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,7/28/2018 6:05:26 PM,Southeast
1674,Capitol Riverfront Farmers Market at Canal Park,Washington,,District of Columbia,20003,,,,,,,,,-77.0033,38.8765,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013,Southeast
1675,Columbia Heights Farmers Market,Washington,District of Columbia,District of Columbia,20010,04/16/2016 to 12/17/2016,Wed: 4:00 PM-7:30 PM;Sun: 9:00 AM-1:00 PM;,,,,,,,-77.0327468,38.930245299999996,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,7/13/2016 1:59:08 PM,Southeast
1676,DC Farmers Market,Washington,District of Columbia,District of Columbia,20002,,,,,,,,,-76.998,38.9088,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Southeast
1677,Eastern Market Outdoor Farmers Market,Washington,District of Columbia,District of Columbia,20003,01/01/2016 to 12/31/2016,Tue: 1:00 PM-7:00 PM;Sat: 8:00 AM-5:00 PM;Sun: 8:00 AM-5:00 PM;,,,,,,,-76.996336,38.886629,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,6/28/2016 6:52:50 AM,Southeast
1678,FRESHFARM By the White House Market,Washington ,District of Columbia,District of Columbia,20420,,Thu: 11:00 AM-2:00 PM;,,,,,,,-77.03502399999999,38.900608,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,N,7/14/2017 3:46:05 PM,Southeast
1679,FRESHFARM Capitol Riverfront Market,Washington,District of Columbia,District of Columbia,20003,05/07/2017 to 09/24/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,-77.0032262,38.876822499999996,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,7/14/2017 3:05:56 PM,Southeast
1680,FRESHFARM CityCenterDC Market,Washington ,District of Columbia,District of Columbia,20005,05/02/2017 to 10/31/2017,Tue: 11:00 AM-2:00 PM;,,,,,,,-77.026455,38.900881,Y,Y,N,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,7/14/2017 4:22:23 PM,Southeast
1681,FRESHFARM Dupont Market,Washington,District of Columbia,District of Columbia,20036,04/01/2017 to 12/31/2017,Sun: 8:30 AM-1:30 PM;,01/01/2018 to 03/31/2018,Sun: 10:00 AM-1:00 PM;,,,,,-77.0447592,38.909772700000005,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,7/14/2017 3:24:19 PM,Southeast
1682,FRESHFARM Foggy Bottom Market,Washington ,District of Columbia,District of Columbia,20052,,Wed: 3:00 PM-7:00 PM;,,,,,,,-77.050545,38.900616,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,7/14/2017 3:35:04 PM,Southeast
1683,FRESHFARM H Street NE Market,Washington ,District of Columbia,District of Columbia,20002,,Sat: 9:00 AM-12:30 PM;,,,,,,,-76.98832879999999,38.9002334,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,7/14/2017 3:49:40 PM,Southeast
1684,FRESHFARM Mount Vernon Triangle Market,Washington ,District of Columbia,District of Columbia,20001,05/06/2017 to 10/28/2017,Sat: 10:00 AM-2:00 PM;,,,,,,,-77.018627,38.901307,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/14/2017 4:23:05 PM,Southeast
1685,FRESHFARM Penn Quarter Market,Washington ,District of Columbia,District of Columbia,20004,04/06/2017 to 11/16/2017,Thu: 3:00 PM-7:00 PM;,,,,,,,-77.0229631,38.8973593,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,7/14/2017 4:21:42 PM,Southeast
1686,Georgetown Farmers' Market in Rose Park,Washington,District of Columbia,District of Columbia,20007,05/01/2013 to 10/30/2013,Wed: 3:00 PM-7:00 PM;,,,,,,,-77.05464,38.908709,Y,Y,Y,Y,N,-,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/31/2013 12:10:44 AM,Southeast
1687,Glover Park-Burleith Farmers' Market,Washington,District of Columbia,District of Columbia,20007,05/16/2015 to 11/21/2015,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0683,38.9158,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,4/6/2015 12:29:04 PM,Southeast
1688,Market Place at Sheriff Road,Washington,District of Columbia,District of Columbia,20019,,,,,,,,,-77.0163,38.9048,N,N,N,N,N,-,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,2/22/2012 3:45:31 PM,Southeast
1689,Minnesota Avenue Farmer's Market,"Washington, DC",District of Columbia,District of Columbia,20019,06/01/2016 to 11/16/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-76.950947,38.893844,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,7/15/2016 3:48:44 PM,Southeast
